DeluxeRoom.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
getBasePrice()	1					P
	2					P
	3					P
ExecutiveRoom.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
getBasePrice()	1					P
	2					P
	3					P
Hotel.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
getName()	1					P
	2					P
	3					P
getBasePrice()	1					P
	2					P
	3					P
getPriceModifier(int)	1					P
	2					P
	3					P
getRoomCount()	1					P
	2					P
	3					P
getDeluxeRoomCount()	1					P
	2					P
	3					P
getExecutiveRoomCount()	1					P
	2					P
	3					P
getEarnings()	1					P
	2					P
	3					P
getReservationCount()	1					P
	2					P
	3					P
getReservationCountOnDate(int, boolean)	1					P
	2					P
	3					P
getAvailableDatesForRoom(int)	1					P
	2					P
	3					P
getCalendarStringForRoom(int)	1					P
	2					P
	3					P
getRoomString(int)	1					P
	2					P
	3					P
getReservationString(int)	1					P
	2					P
	3					P
setName(java.lang.String)	1					P
	2					P
	3					P
setBasePrice(double)	1					P
	2					P
	3					P
setPriceModifier(int, double)	1					P
	2					P
	3					P
addRooms(int, int)	1					P
	2					P
	3					P
removeRoom(int)	1					P
	2					P
	3					P
addReservation(java.lang.String, int, int, int, java.lang.String)	1					P
	2					P
	3					P
removeReservation(int)	1					P
	2					P
	3					P
getRoomNames()	1					P
	2					P
	3					P
getReservationNames()	1					P
	2					P
	3					P
getAvailableRoomCount(int)	1					P
	2					P
	3					P
toString()	1					P
	2					P
	3					P
getRoom(int)	1					P
	2					P
	3					P
Reservation.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
setHotel(src.model.Hotel)	1					P
	2					P
	3					P
getGuestName()	1					P
	2					P
	3					P
setGuestName(java.lang.String)	1					P
	2					P
	3					P
getCheckIn()	1					P
	2					P
	3					P
setCheckIn(int)	1					P
	2					P
	3					P
getCheckOut()	1					P
	2					P
	3					P
setCheckOut(int)	1					P
	2					P
	3					P
setRoom(src.model.Room)	1					P
	2					P
	3					P
getNightCount()	1					P
	2					P
	3					P
getTotalPrice()	1					P
	2					P
	3					P
setDiscountCode(java.lang.String)	1					P
	2					P
	3					P
getPriceBreakdown()	1					P
	2					P
	3					P
getRoomName()	1					P
	2					P
	3					P
removeFromRoom()	1					P
	2					P
	3					P
toString()	1					P
	2					P
	3					P
ReservationBuilder.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
reset()	1					P
	2					P
	3					P
setHotelIndex(int)	1					P
	2					P
	3					P
setGuestName(java.lang.String)	1					P
	2					P
	3					P
validateDates(int, int)	1					P
	2					P
	3					P
setCheckIn(int)	1					P
	2					P
	3					P
setCheckOut(int)	1					P
	2					P
	3					P
setRoomIndex(int)	1					P
	2					P
	3					P
setDiscountCode(java.lang.String)	1					P
	2					P
	3					P
getHotelIndex()	1					P
	2					P
	3					P
getGuestName()	1					P
	2					P
	3					P
getCheckIn()	1					P
	2					P
	3					P
getCheckOut()	1					P
	2					P
	3					P
getRoomIndex()	1					P
	2					P
	3					P
getDiscountCode()	1					P
	2					P
	3					P
ReservationSystem.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
hasHotels()	1					P
	2					P
	3					P
removeHotel(int)	1					P
	2					P
	3					P
removeReservation(int, int)	1					P
	2					P
	3					P
addHotel(java.lang.String)	1					P
	2					P
	3					P
renameHotel(int, java.lang.String)	1					P
	2					P
	3					P
getHotelNames()	1					P
	2					P
	3					P
getHotelNamesAsList()	1					P
	2					P
	3					P
getHotelCount()	1					P
	2					P
	3					P
getReservationCountOnDate(int, int, boolean)	1					P
	2					P
	3					P
getAvailableRoomCount(int, int)	1					P
	2					P
	3					P
getRoomNames(int)	1					P
	2					P
	3					P
getHotelString(int)	1					P
	2					P
	3					P
getHotelName(int)	1					P
	2					P
	3					P
getBasePrice(int)	1					P
	2					P
	3					P
setBasePrice(int, double)	1					P
	2					P
	3					P
getPriceModifier(int, int)	1					P
	2					P
	3					P
setPriceModifier(int, int, double)	1					P
	2					P
	3					P
getRoomCount(int)	1					P
	2					P
	3					P
getRoomString(int, int)	1					P
	2					P
	3					P
removeRoom(int, int)	1					P
	2					P
	3					P
addReservation(int, java.lang.String, int, int, int, java.lang.String)	1					P
	2					P
	3					P
addReservation(src.model.ReservationBuilder)	1					P
	2					P
	3					P
getAvailableDatesForRoom(int, int)	1					P
	2					P
	3					P
addRooms(int, int, int)	1					P
	2					P
	3					P
getReservationBuilder()	1					P
	2					P
	3					P
getReservationBuilderString()	1					P
	2					P
	3					P
resetReservationBuilder()	1					P
	2					P
	3					P
getReservationNames(int)	1					P
	2					P
	3					P
getReservationString(int, int)	1					P
	2					P
	3					P
getReservationCount(int)	1					P
	2					P
	3					P
Room.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
getName()	1					P
	2					P
	3					P
getBasePrice()	1					P
	2					P
	3					P
setBasePrice(double)	1					P
	2					P
	3					P
addReservation(src.model.Reservation)	1					P
	2					P
	3					P
getReservationCount()	1					P
	2					P
	3					P
removeReservation(src.model.Reservation)	1					P
	2					P
	3					P
getAvailableDates()	1					P
	2					P
	3					P
isAvailableOn(int)	1					P
	2					P
	3					P
getAvailableDatesAsCalendarString()	1					P
	2					P
	3					P
toString()	1					P
	2					P
	3					P
toStringMinimal()	1					P
	2					P
	3					P
CalendarListener.class
Method	#	Test Description	Sample Input Data	Expected Output	Actual Output	P/F
setRow(int)	1					P
	2					P
	3					P
setCol(int)	1					P
	2					P
	3					P
getRow()	1					P
	2					P
	3					P
getCol()	1					P
	2					P
	3					P
getDate()	1					P
	2					P
	3					P
setRowAndCol(java.awt.event.MouseEvent)	1					P
	2					P
	3					P
handleSelected(int, int)	1					P
	2					P
	3					P
handleClicked(int, int)	1					P
	2					P
	3					P
handleReleased(int, int)	1					P
	2					P
	3					P
handleDragged(int, int)	1					P
	2					P
	3					P
handleMoved(int, int)	1					P
	2					P
	3					P
handleReleasedOutsideComponent()	1					P
	2					P
	3					P
keyPressed(java.awt.event.KeyEvent)	1					P
	2					P
	3					P
keyTyped(java.awt.event.KeyEvent)	1					P
	2					P
	3					P
keyReleased(java.awt.event.KeyEvent)	1					P
	2					P
	3					P
mouseClicked(java.awt.event.MouseEvent)	1					P
	2					P
	3					P
